end_year,YEAR,age_bin,total_hh,total_hh_se,total_persons,total_persons_se,hr,target_hr,target_hh,missing_hh
2015,2007,"[25,30)",161776,5299.180527607647,365589,8602.343624068099,0.4425078435073265,0.459523342187128,167996.67914684993,6220.679146849929
2015,2007,"[30,35)",167461,5286.336914621031,336825,8126.70281859363,0.49717509092258594,0.5195428880104238,174995.033254111,7534.033254111011
2015,2007,"[35,40)",199077,5705.02446719664,369657,7924.532815588876,0.5385451918941072,0.5403383706183326,199739.86106766097,662.8610676609678
2015,2007,"[40,45)",200779,5560.408154859192,351375,7424.126263383415,0.5714094628246176,0.5676904858084848,199472.24445095635,-1306.7555490436498
2015,2007,"[45,50)",212454,5349.4903601684155,374547,7102.630076281905,0.5672292128891702,0.5742919365315647,215099.32195208798,2645.3219520879793
2015,2007,"[50,55)",204766,5111.080706337595,354245,6880.428314755099,0.5780349757935892,0.5842969783682872,206984.2831020739,2218.2831020739104
2015,2007,"[55,60)",174945,4451.184105651731,292311,5871.22886174607,0.5984892802528814,0.5971130348199094,174542.70832124254,-402.291678757465
2015,2007,"[60,65)",136083,3819.2188757062945,227129,5003.629354349327,0.5991440987280356,0.6028912310057017,136934.08240709404,851.0824070940434
2015,2007,"[65,Inf)",301641,5526.605547901177,469630,7043.187355663647,0.6422949981900645,0.6501144584130709,305313.2531045305,3672.2531045305077
2015,2008,"[15,20)",10324,1198.4553933941118,313538,6762.3147459711045,0.032927428254310484,0.03440765266640974,10788.106601720776,464.10660172077587
2015,2008,"[20,25)",93424,3988.0389450060775,313694,7619.361643694328,0.29781889357144226,0.308675803540398,96829.7475158016,3405.7475158016023
2015,2008,"[25,30)",168963,5369.752861647821,372873,8515.312399974055,0.4531381998696607,0.459523342187128,171343.84717134098,2380.8471713409817
2015,2008,"[30,35)",176426,5447.133911415766,348169,8047.4125335256385,0.5067251823108893,0.5195428880104238,180888.72777570123,4462.727775701234
2015,2008,"[35,40)",193911,5528.172333861718,358214,7673.800041182567,0.5413272513078774,0.5403383706183326,193556.7690926754,-354.23090732461424
2015,2008,"[40,45)",199744,5436.334477905641,358049,7584.047081568919,0.5578677778739781,0.5676904858084848,203261.01075324218,3517.0107532421825
2015,2008,"[45,50)",213129,5307.2373633109455,372652,7080.914695669539,0.5719250131489969,0.5742919365315647,214011.03873236067,882.0387323606701
2015,2008,"[50,55)",208496,5089.2430237171475,357325,6755.3679119730705,0.5834912194780661,0.5842969783682872,208783.91779544821,287.91779544821475
2015,2008,"[55,60)",180457,4643.770871273629,302334,6077.711246377017,0.596879609967784,0.5971130348199094,180527.5722692425,70.57226924248971
2015,2008,"[60,65)",145129,4101.3320046272875,238746,5285.72719988516,0.6078803414507468,0.6028912310057017,143937.86983768726,-1191.1301623127365
2015,2008,"[65,Inf)",308639,5533.8527240506755,491064,7256.710236066805,0.6285107440170732,0.6501144584130709,319247.8064061563,10608.806406156276
2015,2009,"[15,20)",9182,1296.8706431782284,306569,6809.964766037303,0.029950843040229116,0.03440765266640974,10548.319670288567,1366.319670288567
2015,2009,"[20,25)",100988,4300.7546524899635,345315,8100.458191390666,0.292451819353344,0.308675803540398,106590.38509955253,5602.385099552528
2015,2009,"[25,30)",165723,5285.780005277577,370439,8423.92348505978,0.4473692024867792,0.459523342187128,170225.36735645751,4502.367356457515
2015,2009,"[30,35)",171513,5307.363765306615,341511,7833.837458861271,0.5022180837513287,0.5195428880104238,177429.61122732784,5916.611227327841
2015,2009,"[35,40)",195361,5503.065201866534,359700,7650.483889062185,0.543122046149569,0.5403383706183326,194359.71191141423,-1001.288088585774
2015,2009,"[40,45)",191911,5244.322477703111,347769,7126.980664847467,0.5518346948692954,0.5676904858084848,197425.15255913095,5514.152559130947
2015,2009,"[45,50)",208264,5321.291606097911,374188,7176.156791165265,0.5565758388831282,0.5742919365315647,214893.15114687313,6629.151146873133
2015,2009,"[50,55)",206189,5002.495297973038,359067,6627.101729963826,0.5742354490944587,0.5842969783682872,209801.7631317658,3612.7631317657942
2015,2009,"[55,60)",179564,4488.265661188188,308879,6011.134590765747,0.5813409134321207,0.5971130348199094,184435.6770821388,4871.677082138805
2015,2009,"[60,65)",153385,4181.586804695499,255098,5445.124315862488,0.6012787242549922,0.6028912310057017,153796.3472470925,411.34724709248985
2015,2009,"[65,Inf)",328093,5760.2912705252465,511407,7416.4930283676185,0.6415496854755606,0.6501144584130709,332473.08483365335,4380.084833653353
2015,2010,"[15,20)",10955,1514.1295213638155,312090,6991.809260899933,0.035102053894709856,0.03440765266640974,10738.284320659815,-216.71567934018458
2015,2010,"[20,25)",97860,4209.312391770378,329943,7712.704482174604,0.29659668488193414,0.308675803540398,101845.42064752954,3985.420647529536
2015,2010,"[25,30)",162708,5205.510537069377,359789,7922.984828385764,0.45223172470531336,0.459523342187128,165331.4437621646,2623.443762164592
2015,2010,"[30,35)",181129,5243.241460715787,349856,7372.150084881971,0.517724435196195,0.5195428880104238,181765.19662777483,636.1966277748288
2015,2010,"[35,40)",192703,5549.436513205403,352433,7477.537282404819,0.5467791041134059,0.5403383706183326,190433.0729721308,-2269.927027869213
