YEAR,msa,HH,NEWHH,MISSINGHH,housing_units_seasonal,housing_units_uninhabitable,housing_units_vacant,housing_units,vacancy_rate,necessary_units,available_units,underproduction
2011,Not in identifiable area,402170,413691.6282783393,11521.628278339267,90854,2787,29881,539830,0.05535261100716892,435464.87187193613,446189,-10724.128128063865
2011,"Pueblo, CO",59488,61237.05102270324,1749.05102270324,1222,1392,3738,66701,0.05604113881351104,64460.05370810868,64087,373.05370810868044
2012,"Colorado Springs, CO",247966,262417.5476921759,14451.547692175873,6148,445,10394,269696,0.03853968913146654,276228.9975707115,263103,13125.997570711479
2012,"Denver-Aurora-Lakewood, CO",1052875,1108583.512084048,55708.5120840481,12444,3971,35592,1115639,0.03190279292853692,1166930.0127200505,1099224,67706.01272005052
2012,"Fort Collins, CO",124033,126642.79242903205,2609.7924290320516,6670,287,3152,134704,0.0233994536168191,133308.20255687585,127747,5561.2025568758545
2012,"Grand Junction, CO",51627,53134.67672566813,1507.6767256681262,1232,68,735,54524,0.013480302252219207,55931.23865859803,53224,2707.2386585980275
2012,Not in identifiable area,460275,478138.72233991005,17863.72233991005,79991,4597,30154,590349,0.05107826048659352,503303.9182525369,505761,-2457.0817474630894
2012,"Pueblo, CO",59331,61060.13143217098,1729.1314321709824,643,NA,2614,65624,0.039832987931244665,64273.82256017998,64981,-707.1774398200214
2013,"Colorado Springs, CO",250598,266246.84786553524,15648.847865535228,4542,1608,10394,271918,0.03822475893467884,280259.83985845814,265768,14491.839858458145
2013,"Denver-Aurora-Lakewood, CO",1067436,1121678.9760406408,54242.97604064075,11309,3152,31954,1127138,0.028349678566422214,1180714.7116217273,1112677,68037.71162172733
2013,"Fort Collins, CO",123880,127717.86790061081,3837.8679006108146,5795,367,3008,136079,0.022104806766657603,134439.8609480114,129917,4522.8609480113955
2013,"Grand Junction, CO",52301,54194.30210549069,1893.3021054906912,1319,NA,1106,55661,0.019870286196798478,57046.633795253365,54342,2704.633795253365
2013,Not in identifiable area,448707,472730.90078156866,24023.90078156865,91659,3661,26902,590186,0.04558224017513123,497611.4745069144,494866,2745.474506914383
2013,"Pueblo, CO",59809,61277.93506360918,1468.9350636091733,655,517,2809,66309,0.04236227359785248,64503.08954064124,65137,-633.9104593587617
2014,"Colorado Springs, CO",255318,267176.16605306213,11858.16605306215,3665,701,9463,275214,0.034384151969013205,281238.0695295391,270848,10390.06952953909
2014,"Denver-Aurora-Lakewood, CO",1088326,1148217.7418989888,59891.74189898885,9671,2565,33137,1144970,0.02894136964287274,1208650.2546305147,1132734,75916.25463051465
2014,"Fort Collins, CO",125176,130685.7815029895,5509.7815029895055,5041,227,4554,138540,0.032871372888696404,137563.98052946263,133272,4291.980529462628
2014,"Grand Junction, CO",51862,52921.07112128017,1059.071121280172,767,373,1552,54780,0.028331507849580138,55706.39065397913,53640,2066.390653979128
2014,Not in identifiable area,458387,483158.43487558234,24771.434875582316,89929,2759,23759,596685,0.03981832960439763,508587.8261848235,503997,4590.826184823527
2014,"Pueblo, CO",60531,62633.28516869107,2102.2851686910753,180,159,2186,66091,0.03307560787399192,65929.77386178008,65752,177.77386178007873
2015,"Colorado Springs, CO",261458,273402.3178039828,11944.31780398283,4008,749,11027,281288,0.03920181451039504,287791.9134778767,276531,11260.91347787669
2015,"Denver-Aurora-Lakewood, CO",1107696,1174852.1260638172,67156.12606381714,10560,2159,27272,1160900,0.023492118184167455,1236686.4484882287,1148181,88505.44848822872
2015,"Fort Collins, CO",129204,136277.51332407937,7073.513324079355,7969,40,2132,140887,0.015132694996699482,143450.0140253467,132878,10572.014025346696
