YEAR,msa,HH,HH_se,NEWHH,NEWHH_se,MISSINGHH,MISSINGHH_se,housing_units_seasonal,housing_units_seasonal_se,housing_units_uninhabitable,housing_units_uninhabitable_se,housing_units_vacant,housing_units_vacant_se,housing_units,housing_units_se,vacancy_rate,necessary_units,necessary_units_se,available_units,available_units_se,underproduction,underproduction_se
2008,"Colorado Springs, CO",222039,5382.156352569403,229979.23978540752,5127.20943217064,7940.239785407522,7433.430134523547,2071,672.0568381043013,640,371.3132534605964,16632,1951.2140644163107,246193,5859.52724017702,0.06755675425377651,242083.41030042898,9660.353369444823,243482,5909.618719021962,-1398.589699571021,11324.575957922607
2008,"Denver-Aurora-Lakewood, CO",977956,11538.733070325537,1012775.6758144571,11045.639782574837,34819.67581445712,15973.36905836161,7468,1220.392785069217,3467,905.8938785976546,51421,3427.2690529418023,1058306,12210.762380501143,0.04858802652540947,1066079.6587520603,20742.2082274945,1047371,12304.987614060878,18708.658752060262,24117.460942954425
2008,"Fort Collins, CO",113227,3951.822311627647,116275.68572549449,3819.281953988251,3048.6857254944853,5495.7996894663465,1160,499.5038668431127,192,191.99999999510877,3685,963.6997567385823,118856,4115.465567792294,0.03100390388369119,122395.45865841526,7125.368343254563,117504,4150.111438584908,4891.458658415257,8245.865568861014
2008,"Grand Junction, CO",55763,2762.7822404482513,57947.81897771451,2531.542661905855,2184.818977714508,3747.2221654427753,245,185.30233613192078,NA,NA,1352,570.9127904108129,57939,2850.0234677201965,0.023334886691175203,60997.70418706791,4900.634778864239,57694,2856.0410925495803,3303.7041870679095,5672.141743481518
2008,"Greeley, CO",85994,3528.4731888328456,88994.92476101848,3025.505571998821,3000.924761018489,4647.989566523159,651,338.8989054572139,542,313.1543758118783,4478,920.6567966822721,93996,3751.688906518536,0.04764032512021788,93678.86816949314,6142.7100279384495,92803,3779.958701163873,875.8681694931438,7212.556708258179
2008,Not in identifiable area,386674,7311.885126754093,400700.141853874,6923.003003584958,14026.141853874029,10069.341323765624,86613,4238.127057777598,1481,529.8091233496416,22566,2186.8547192015185,513079,8887.769862695628,0.04398153110924439,421789.62300407793,13099.03884322988,424985,9860.774401500714,-3195.3769959220663,16395.72171067004
2008,"Pueblo, CO",56989,2800.7837619388183,57924.06661709786,2652.507426413028,935.0666170978568,3857.4843263863595,290,290.0000000007782,500,365.30781451576473,3239,813.2380200448023,63755,3052.45365841704,0.05080385852090032,60972.70170220827,5017.926314526036,62965,3087.8832776078675,-1992.2982977917272,5891.910355236504
2009,"Colorado Springs, CO",227166,5460.419010888946,233442.6999428143,5109.858049850833,6276.6999428143135,7478.423969266704,3615,802.799857696467,106,106.00000000095099,12561,1694.5832275742812,247623,5841.524065684708,0.05072630571473571,245729.15783454137,9747.107012442215,243902,5897.383065520779,1827.1578345413727,11392.331725046082
2009,"Denver-Aurora-Lakewood, CO",978515,11434.711013580749,1024030.7832576096,10839.607527712256,45515.783257609546,15755.941968633328,11279,1593.7604464638719,4067,939.6403803004947,53114,3485.7751184442427,1063716,12170.383981410054,0.04993250078028346,1077927.140271168,20492.612635113008,1048370,12310.20887962371,29557.14027116797,23905.823877724015
2009,"Fort Collins, CO",111661,3994.6749645072687,114490.86335572998,3901.3641303701593,2829.863355729979,5583.73263595241,1703,611.662203472339,218,218.0000000022802,5401,1194.162147794087,120361,4255.03443522695,0.0448733393707264,120516.69826918945,7226.873380708149,118440,4304.297003707431,2076.698269189452,8411.579611280678
2009,"Grand Junction, CO",55181,2824.301670413315,57624.3322562966,2706.8242521180146,2443.332256296599,3911.9787138165375,822,454.5648385838613,NA,NA,1315,528.5172692350427,58206,2940.2724838140593,0.022592172628251382,60657.191848733266,5078.907268219459,57384,2975.202761418265,3273.191848733266,5886.181318199713
2009,"Greeley, CO",86074,3567.8892444101807,92748.95255580024,3278.3267933821944,6674.952555800232,4845.333861003329,238,185.3967681969925,529,364.6213750063661,6072,1188.7013752001008,94504,3823.258260897369,0.06425124862439685,97630.47637452657,6333.9295531642,93737,3845.0779495725956,3893.4763745265664,7409.675298063758
