msa,AGEGROUP,MET2013,NEWHR,PUMA,age_dummy,YEAR,NEWHH_,NEWHH__se,HH,HH_se,NEWHH,NEWHH_se,MISSINGHH,MISSINGHH_se
"Colorado Springs, CO","[45,50)",17820,0.5698456971775122,901,FALSE,2005,5918.987256582819,566.0394540132536,6200,801.5884179821966,6200,801.5884179821966,0,1133.6172121516156
"Colorado Springs, CO","[45,50)",17820,0.5698456971775122,902,FALSE,2005,4546.7988177793695,529.8512715022332,4280,671.3481690198777,4280,671.3481690198777,0,949.4296857022559
"Colorado Springs, CO","[45,50)",17820,0.5698456971775122,903,FALSE,2005,3546.1497735356584,423.1267633231218,4433,655.948168303504,4433,655.948168303504,0,927.6507958286048
"Colorado Springs, CO","[45,50)",17820,0.5698456971775122,904,FALSE,2005,6592.544870646639,737.3375379629944,6559,891.3758561871938,6559,891.3758561871938,0,1260.595824991859
"Colorado Springs, CO","[45,50)",17820,0.5698456971775122,905,FALSE,2005,3909.7113283349113,616.5896744051128,3724,655.65879775343,3724,655.65879775343,0,927.2415640721389
"Colorado Springs, CO","[50,55)",17820,0.5790236220472441,901,FALSE,2005,4183.445669291339,478.3889265212089,3652,576.7667389995005,3652,576.7667389995005,0,815.6713446187968
"Colorado Springs, CO","[50,55)",17820,0.5790236220472441,902,FALSE,2005,3632.7942047244096,490.4174857938008,3863,688.2103813020161,3863,688.2103813020161,0,973.2764550032703
"Colorado Springs, CO","[50,55)",17820,0.5790236220472441,903,FALSE,2005,4078.6423937007876,495.70423281735185,4327,660.8072965931306,4327,660.8072965931306,0,934.5226409571055
"Colorado Springs, CO","[50,55)",17820,0.5790236220472441,904,FALSE,2005,4787.367307086614,691.0369414197978,4484,964.5216335358123,4484,964.5216335358123,0,1364.039575348598
"Colorado Springs, CO","[50,55)",17820,0.5790236220472441,905,FALSE,2005,3270.904440944882,604.1490162033014,3535,917.9325557838966,3535,917.9325557838966,0,1298.1526697333843
"Colorado Springs, CO","[55,60)",17820,0.6237859362859363,901,FALSE,2005,2950.5074786324785,382.78952905213583,2584,439.22582798285197,2584,439.22582798285197,0,621.1591228779014
"Colorado Springs, CO","[55,60)",17820,0.6237859362859363,902,FALSE,2005,4082.0551670551667,485.4802491164203,4205,626.1883892528523,4205,626.1883892528523,0,885.5641126819465
"Colorado Springs, CO","[55,60)",17820,0.6237859362859363,903,FALSE,2005,3232.4587218337215,467.7777461567856,3036,616.806522681148,3036,616.806522681148,0,872.2961497358675
"Colorado Springs, CO","[55,60)",17820,0.6237859362859363,904,FALSE,2005,3614.2157148407146,467.1393995227182,3267,550.2472296465385,3267,550.2472296465385,0,778.1670948243577
"Colorado Springs, CO","[55,60)",17820,0.6237859362859363,905,FALSE,2005,3402.1284965034965,448.7548680392138,3387,568.3178066801784,3387,568.3178066801784,0,803.722749945239
"Colorado Springs, CO","[60,65)",17820,0.6293571901921803,901,FALSE,2005,2735.1863485752156,373.6770265936749,2214,425.3511274569584,2214,425.3511274569584,0,601.5373332203176
"Colorado Springs, CO","[60,65)",17820,0.6293571901921803,902,FALSE,2005,3080.0740888005303,429.00582548990263,2995,531.1803068303423,2995,531.1803068303423,0,751.202393984972
"Colorado Springs, CO","[60,65)",17820,0.6293571901921803,903,FALSE,2005,2827.0724983432738,427.4647822337106,3515,621.4815647125246,3515,621.4815647125246,0,878.9076575813045
"Colorado Springs, CO","[60,65)",17820,0.6293571901921803,904,FALSE,2005,2860.4284294234594,415.4922106176929,2233,495.9477387916324,2233,495.9477387916324,0,701.3760184273957
"Colorado Springs, CO","[60,65)",17820,0.6293571901921803,905,FALSE,2005,1738.913916500994,320.68019189449694,1610,366.8633053187697,1610,366.8633053187697,0,518.8230619188257
"Colorado Springs, CO","[65,Inf]",17820,0.6660203034105167,901,FALSE,2005,5028.4532907494,539.7845329991973,4470,623.2759792109242,4470,623.2759792109242,0,881.4453429014603
"Colorado Springs, CO","[65,Inf]",17820,0.6660203034105167,902,FALSE,2005,7586.637276149195,701.889372759711,7794,900.6240700384711,7794,900.6240700384711,0,1273.6747744480622
"Colorado Springs, CO","[65,Inf]",17820,0.6660203034105167,903,FALSE,2005,8359.886848408805,718.6038653795468,8625,892.236729449682,8625,892.236729449682,0,1261.8132836351542
"Colorado Springs, CO","[65,Inf]",17820,0.6660203034105167,904,FALSE,2005,4839.303524580814,556.7132154013884,4445,640.4726793298518,4445,640.4726793298518,0,905.7651494377105
"Colorado Springs, CO","[65,Inf]",17820,0.6660203034105167,905,FALSE,2005,6189.9926998973415,675.0569438332893,6243,842.8931472501782,6243,842.8931472501782,0,1192.0309204725443
"Denver-Aurora-Lakewood, CO","[0,15)",19740,0,801,FALSE,2005,0,0,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[0,15)",19740,0,804,FALSE,2005,0,0,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[0,15)",19740,0,805,FALSE,2005,0,0,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[0,15)",19740,0,806,FALSE,2005,0,0,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[0,15)",19740,0,807,FALSE,2005,0,0,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[0,15)",19740,0,808,FALSE,2005,0,0,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[0,15)",19740,0,809,FALSE,2005,0,0,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[0,15)",19740,0,810,FALSE,2005,0,0,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[0,15)",19740,0,811,FALSE,2005,0,0,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[0,15)",19740,0,812,FALSE,2005,0,0,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[0,15)",19740,0,813,FALSE,2005,0,0,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[0,15)",19740,0,814,FALSE,2005,0,0,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[0,15)",19740,0,815,FALSE,2005,0,0,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[0,15)",19740,0,816,FALSE,2005,0,0,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[0,15)",19740,0,817,FALSE,2005,0,0,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[0,15)",19740,0,818,FALSE,2005,0,0,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[0,15)",19740,0,819,FALSE,2005,0,0,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[0,15)",19740,0,820,FALSE,2005,0,0,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[0,15)",19740,0,821,FALSE,2005,0,0,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[0,15)",19740,0,822,FALSE,2005,0,0,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.003770861944554363,801,FALSE,2005,19.03154023416587,3.714847263291553,96,95.99999999980116,96,95.99999999980116,0,135.76450198753594
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.003770861944554363,804,FALSE,2005,19.487814529456948,2.8915487882219733,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.003770861944554363,805,FALSE,2005,16.34291566769861,3.2026943994943378,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.003770861944554363,806,FALSE,2005,19.167291264169826,3.1222858671425895,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.003770861944554363,807,FALSE,2005,18.7977467936035,3.2401862714543785,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.003770861944554363,808,FALSE,2005,32.03347221898932,4.173487328054585,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.003770861944554363,809,FALSE,2005,19.902609343357927,3.564733295881927,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.003770861944554363,810,FALSE,2005,19.98179744419357,5.26051871228986,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.003770861944554363,811,FALSE,2005,25.54758967435581,3.183882040028204,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.003770861944554363,812,FALSE,2005,19.69898279835199,4.79939494721559,62,62.00000000008082,62,62.00000000008082,0,87.68124086724619
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.003770861944554363,813,FALSE,2005,9.340425036661157,2.3237877601946857,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.003770861944554363,814,FALSE,2005,7.45876492632853,2.210286710076447,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.003770861944554363,815,FALSE,2005,9.174507111100766,2.076821373467512,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.003770861944554363,816,FALSE,2005,20.728428109215333,5.611082466687995,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.003770861944554363,817,FALSE,2005,20.238216056423266,3.1293815746468647,244.99999999999997,244.99999999966857,244.99999999999997,244.99999999966857,0,346.48232278093957
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.003770861944554363,818,FALSE,2005,8.096040594958218,1.7845775143207652,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.003770861944554363,819,FALSE,2005,19.536835734736155,2.608430979148123,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.003770861944554363,820,FALSE,2005,13.032098880379879,2.327337204206655,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.003770861944554363,821,FALSE,2005,24.125974721258814,4.652484151506758,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.003770861944554363,822,FALSE,2005,28.439840785829006,3.7966156299434815,0,0,0,0,0,0
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.09021227547785995,801,TRUE,2005,259.8113533762367,57.85434816663147,270,221.9222541944958,270,221.9222541944958,0,313.84546167426544
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.09021227547785995,804,TRUE,2005,187.0100470656037,42.79815754348726,50,49.99999999996378,187.0100470656037,42.79815754348726,137.0100470656037,65.81551708460196
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.09021227547785995,805,TRUE,2005,338.29603304197485,72.94604434471592,770,390.47976267302437,770,390.47976267302437,0,552.2217762044185
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.09021227547785995,806,TRUE,2005,250.60970127749496,49.68650678819734,532,267.3899978929881,532,267.3899978929881,0,378.1465614631771
"Denver-Aurora-Lakewood, CO","[15,20)",19740,0.09021227547785995,807,TRUE,2005,223.09495725674768,51.010814722491524,59,59.00000000003822,223.09495725674768,51.010814722491524,164.09495725674768,77.9942511897952
